epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3114,0.21736,1.12042,1.00188,0.63872,0.83749,0.77058,0.74922,0.24218,1.35664,0.54507,0.00333061,0.00333061,0.00333061
2,130.068,0.17914,0.55161,0.94073,0.66611,0.83052,0.79789,0.76888,0.30753,0.8883,0.61142,0.00661996,0.00661996,0.00661996
3,191.235,0.20476,0.48747,0.94498,0.50022,0.67337,0.56506,0.53003,0.35637,2.02945,0.66342,0.00986531,0.00986531,0.00986531
4,251.972,0.19157,0.45813,0.93786,0.71998,0.82293,0.83315,0.81124,0.2402,0.80472,0.56269,0.009802,0.009802,0.009802
5,312.689,0.1569,0.39632,0.92174,0.76341,0.81827,0.86565,0.84054,0.23191,0.84266,0.508,0.009736,0.009736,0.009736
6,373.456,0.13607,0.36521,0.91374,0.70741,0.79926,0.80219,0.77606,0.25716,1.08116,0.56109,0.00967,0.00967,0.00967
7,434.501,0.12433,0.34845,0.90906,0.74426,0.82699,0.85993,0.83626,0.21982,0.88785,0.53505,0.009604,0.009604,0.009604
8,495.039,0.1141,0.32442,0.9055,0.72649,0.84713,0.83089,0.81821,0.19564,0.96856,0.46033,0.009538,0.009538,0.009538
9,555.745,0.10462,0.31366,0.90257,0.70247,0.85168,0.8441,0.83595,0.17835,0.81322,0.44833,0.009472,0.009472,0.009472
10,616.323,0.10009,0.30545,0.90164,0.59728,0.76627,0.64957,0.63419,0.19694,1.85914,0.52536,0.009406,0.009406,0.009406
11,676.836,0.09715,0.29558,0.90111,0.57319,0.74651,0.64154,0.63261,0.18056,2.11403,0.45768,0.00934,0.00934,0.00934
12,737.588,0.09269,0.28549,0.89944,0.6865,0.78625,0.77896,0.76378,0.19194,1.1354,0.46953,0.009274,0.009274,0.009274
13,798.358,0.08953,0.28066,0.89708,0.64692,0.81127,0.76293,0.75326,0.17329,1.12057,0.44421,0.009208,0.009208,0.009208
14,858.936,0.08605,0.2733,0.89684,0.64688,0.78061,0.72051,0.71337,0.17504,1.56454,0.44541,0.009142,0.009142,0.009142
15,919.355,0.08224,0.26519,0.89486,0.64248,0.8431,0.78002,0.77602,0.15679,1.45729,0.41452,0.009076,0.009076,0.009076
16,979.894,0.08056,0.2683,0.8939,0.66419,0.79444,0.76802,0.75921,0.15454,1.37227,0.41237,0.00901,0.00901,0.00901
17,1040.56,0.07833,0.25445,0.89437,0.67231,0.83886,0.77992,0.77559,0.12273,1.23963,0.37564,0.008944,0.008944,0.008944
18,1101.17,0.07566,0.25047,0.89165,0.65661,0.82052,0.76036,0.75483,0.15642,1.63286,0.41868,0.008878,0.008878,0.008878
19,1161.71,0.07461,0.24585,0.89336,0.6681,0.83144,0.76459,0.76034,0.1347,1.34077,0.38909,0.008812,0.008812,0.008812
20,1222.34,0.07392,0.24321,0.89276,0.67399,0.8212,0.75787,0.75477,0.15497,1.55965,0.40541,0.008746,0.008746,0.008746
21,1282.82,0.0721,0.24362,0.89191,0.70856,0.82228,0.8082,0.80212,0.14143,1.06435,0.39376,0.00868,0.00868,0.00868
22,1343.48,0.07033,0.23921,0.89189,0.65507,0.83738,0.77977,0.77599,0.11024,1.19622,0.36912,0.008614,0.008614,0.008614
23,1403.82,inf,0.23892,0.89064,0.64514,0.84906,0.77987,0.77526,0.12314,1.28898,0.37762,0.008548,0.008548,0.008548
24,1463.62,0.06891,0.23488,0.89146,0.70367,0.79386,0.78664,0.78218,0.1226,1.22084,0.37691,0.008482,0.008482,0.008482
25,1523.48,0.06701,0.231,0.89019,0.69793,0.83078,0.80968,0.80592,0.12408,1.20264,0.37479,0.008416,0.008416,0.008416
26,1582.99,0.06604,0.22898,0.89073,0.7044,0.81845,0.80181,0.79809,0.13382,1.20906,0.38704,0.00835,0.00835,0.00835
27,1642.49,0.06372,0.22386,0.88873,0.71734,0.80367,0.79162,0.78664,0.12953,1.20456,0.38452,0.008284,0.008284,0.008284
28,1702.28,inf,0.22421,0.89215,0.68624,0.81843,0.79169,0.78821,0.10202,1.16505,0.35299,0.008218,0.008218,0.008218
29,1762.06,0.06242,0.22144,0.88995,0.67992,0.83315,0.79577,0.79199,0.13207,1.17085,0.38579,0.008152,0.008152,0.008152
30,1821.54,0.0623,0.2181,0.88776,0.66882,0.82829,0.77764,0.77281,0.12349,1.25558,0.38334,0.008086,0.008086,0.008086
31,1881.11,inf,0.21462,0.88839,0.68158,0.82239,0.78208,0.77898,0.12554,1.21848,0.37812,0.00802,0.00802,0.00802
32,1942.48,0.06095,0.21386,0.88847,0.67338,0.85331,0.81576,0.8128,0.1124,1.16297,0.36365,0.007954,0.007954,0.007954
33,2003.84,inf,0.21144,0.88897,0.68917,0.84427,0.81093,0.8082,0.10961,1.17166,0.35947,0.007888,0.007888,0.007888
34,2064.05,0.06058,0.21375,0.88981,0.69733,0.83032,0.81088,0.808,0.10287,1.14799,0.3563,0.007822,0.007822,0.007822
35,2124.56,0.05827,0.20774,0.88828,0.67943,0.84684,0.81306,0.81012,0.10284,1.15437,0.35846,0.007756,0.007756,0.007756
