epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4643,0.20607,1.17648,0.99552,0.68605,0.82316,0.81947,0.79664,0.22548,1.07636,0.58226,0.00333061,0.00333061,0.00333061
2,138.259,0.17996,0.55268,0.94074,0.57812,0.90144,0.79132,0.76502,0.28155,0.99839,0.58955,0.00661996,0.00661996,0.00661996
3,202.198,0.20986,0.49218,0.952,0.7185,0.77268,0.79131,0.73085,0.38303,0.9501,0.67464,0.00986531,0.00986531,0.00986531
4,267.568,0.19783,0.46435,0.94441,0.7052,0.78744,0.79286,0.75804,0.29284,0.88729,0.61664,0.009802,0.009802,0.009802
5,332.99,0.15846,0.4,0.92489,0.66354,0.76076,0.73472,0.71019,0.28261,0.9565,0.58899,0.009736,0.009736,0.009736
6,398.177,0.13712,0.36553,0.91635,0.7155,0.77335,0.75344,0.71424,0.27596,0.96927,0.57509,0.00967,0.00967,0.00967
7,463.375,0.12369,0.34314,0.9101,0.69728,0.83272,0.83069,0.8096,0.23046,0.81292,0.52169,0.009604,0.009604,0.009604
8,528.377,0.11263,0.31762,0.90614,0.6799,0.8455,0.7936,0.78596,0.21613,1.07194,0.49353,0.009538,0.009538,0.009538
9,593.535,0.10542,0.30773,0.90455,0.71234,0.79083,0.82753,0.81984,0.21174,0.87081,0.50696,0.009472,0.009472,0.009472
10,658.747,0.09964,0.29659,0.90283,0.6144,0.83266,0.726,0.67706,0.28636,1.2519,0.56907,0.009406,0.009406,0.009406
11,723.826,0.0965,0.28738,0.90217,0.6888,0.78721,0.77304,0.75587,0.23729,1.02884,0.53393,0.00934,0.00934,0.00934
12,788.814,0.0936,0.27636,0.90139,0.65422,0.84668,0.80036,0.78067,0.20169,1.05139,0.47018,0.009274,0.009274,0.009274
13,854.086,0.08844,0.27156,0.89761,0.73758,0.77958,0.80942,0.80022,0.19064,0.81316,0.50592,0.009208,0.009208,0.009208
14,919.232,0.08531,0.26222,0.89763,0.5858,0.86543,0.72385,0.71827,0.18211,1.20422,0.46148,0.009142,0.009142,0.009142
15,984.232,0.08227,0.25605,0.8964,0.58912,0.80453,0.6712,0.66419,0.19109,1.44763,0.46862,0.009076,0.009076,0.009076
16,1049.47,inf,0.25749,0.89446,0.58283,0.84014,0.70861,0.70151,0.19431,1.24151,0.48611,0.00901,0.00901,0.00901
17,1114.68,inf,0.2476,0.89504,0.68497,0.83229,0.7818,0.77797,0.17087,1.03624,0.44099,0.008944,0.008944,0.008944
18,1179.72,0.07536,0.2419,0.89223,0.66382,0.80574,0.75432,0.74479,0.2003,1.29578,0.47256,0.008878,0.008878,0.008878
19,1245.23,0.07143,0.23517,0.8924,0.65686,0.83752,0.78652,0.7824,0.16795,1.00341,0.44409,0.008812,0.008812,0.008812
20,1310.17,0.0733,0.23211,0.89326,0.62344,0.87179,0.79275,0.78878,0.1773,1.07591,0.4505,0.008746,0.008746,0.008746
21,1375.41,0.07049,0.22943,0.89234,0.65418,0.79136,0.74685,0.73921,0.19087,1.15844,0.48492,0.00868,0.00868,0.00868
22,1440.57,0.06751,0.22666,0.89142,0.66243,0.80908,0.77839,0.77279,0.16822,1.11747,0.45313,0.008614,0.008614,0.008614
23,1505.77,0.06729,0.22715,0.89136,0.61037,0.85014,0.73638,0.73177,0.16949,1.15633,0.44575,0.008548,0.008548,0.008548
24,1570.95,0.06807,0.22453,0.89227,0.62428,0.8409,0.76165,0.75611,0.18146,1.18,0.48535,0.008482,0.008482,0.008482
25,1636.38,inf,0.22322,0.89119,0.65068,0.84591,0.78371,0.77841,0.18218,1.14469,0.47124,0.008416,0.008416,0.008416
26,1701.57,0.06594,0.21964,0.89151,0.65329,0.85482,0.79379,0.78904,0.16847,1.05396,0.46334,0.00835,0.00835,0.00835
27,1766.95,0.06257,0.21388,0.88876,0.70353,0.78657,0.78344,0.77762,0.16053,1.10983,0.46201,0.008284,0.008284,0.008284
28,1832.15,0.0637,0.21372,0.89274,0.65045,0.81884,0.75997,0.75366,0.18638,1.21689,0.47591,0.008218,0.008218,0.008218
29,1897.32,0.06299,0.21319,0.89104,0.64499,0.82324,0.77111,0.76328,0.19712,1.15504,0.49732,0.008152,0.008152,0.008152
30,1962.68,0.06152,0.20635,0.8876,0.62558,0.83779,0.76463,0.75537,0.17743,1.2295,0.48336,0.008086,0.008086,0.008086
31,2027.96,inf,0.20354,0.88883,0.63358,0.85002,0.77631,0.7701,0.17275,1.16092,0.46089,0.00802,0.00802,0.00802
32,2093.47,0.05886,0.20191,0.88901,0.66563,0.84894,0.80272,0.798,0.16652,1.05627,0.44429,0.007954,0.007954,0.007954
33,2158.64,0.05848,0.19701,0.88883,0.65687,0.84128,0.78834,0.78515,0.15064,1.10475,0.42859,0.007888,0.007888,0.007888
34,2223.9,0.05693,0.19877,0.88896,0.65124,0.84289,0.77503,0.7722,0.15073,1.15198,0.42834,0.007822,0.007822,0.007822
35,2289.07,0.05538,0.19352,0.8873,0.64666,0.84584,0.76924,0.766,0.14933,1.18821,0.42752,0.007756,0.007756,0.007756
36,2354.28,inf,0.19756,0.88719,0.65629,0.84045,0.76734,0.76414,0.15193,1.18159,0.43015,0.00769,0.00769,0.00769
37,2419.32,0.05542,0.19298,0.88714,0.663,0.83272,0.77845,0.77557,0.15057,1.18296,0.42851,0.007624,0.007624,0.007624
38,2484.49,0.05503,0.19359,0.88852,0.64397,0.85155,0.78379,0.78099,0.14663,1.16549,0.42315,0.007558,0.007558,0.007558
39,2549.68,0.05428,0.1904,0.88843,0.64233,0.85215,0.79044,0.78653,0.15413,1.15877,0.43916,0.007492,0.007492,0.007492
